identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;pays;latitude;longitude;latlon;precision_du_geocodage;numero_de_telephone;changeur_de_monnaie;distributeur_de_billets;distributeur_de_timbres;photocopie;distributeur_pret_a_poster;affranchissement_libre_service;bornes_de_rechargement_moneo;accessibilite_absence_de_ressaut_de_plus_de_2_cm_de_haut;accessibilite_automate_d_affranchissement_avec_prise_audio;accessibilite_boucle_magnetique_en_etat_de_fonctionnement;accessibilite_distributeur_de_billets_avec_prise_audio;accessibilite_entree_autonome_en_fauteuil_roulant_possible;accessibilite_pas_d_escalier_ou_bandes_de_vigilance_presentes;accessibilite_presence_d_un_panneau_prioritaire;accessibilite_borne_sonore_en_etat_de_fonctionnement;accessibilite_espace_de_circulation_interieur_suffisant_pour_pmr;accessibilite_presence_d_un_espace_confidentiel_accessible_pmr;accessibilite_presence_d_un_gab_externe_accessible_pmr;accessibilite_presence_d_un_guichet_surbaisse_ou_d_un_ecritoire;accessibilite_presence_d_une_bande_de_guidage_au_sol
05176A;PORTSALL AP;Agence postale;PLACE DE LA MAIRIE PORTSALL;;;29830.0;PLOUDALMEZEAU;FRANCE;48.560094;-4.697749;48.560094, -4.697749;Géocodé au centre de la commune;298486300.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05182A;POULGOAZEC AP;Agence postale;QUAI JEAN JADE;;;29780.0;PLOUHINEC;FRANCE;48.015691;-4.491716;48.015691, -4.491716;Géocodé au centre de la commune;298707754.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05187A;AIGUES VIVES BP;Bureau de poste;99 RUE DE LA POSTE;;;30670.0;AIGUES VIVES;FRANCE;43.737624;4.18093;43.737624, 4.18093;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05205A;BEAUCAIRE;Bureau de poste;22 COURS GAMBETTA;;;30300.0;BEAUCAIRE;FRANCE;43.805999;4.643938;43.805999, 4.643938;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
05210A;BEZOUCE BP;Bureau de poste;1 RUE DES LAURIERS;;;30320.0;BEZOUCE;FRANCE;43.880898;4.487703;43.880898, 4.487703;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05212A;BOISSET ET GAUJAC BP;Bureau de poste;9 PLACE EMILE CHAMBON;;;30140.0;BOISSET ET GAUJAC;FRANCE;44.047694;4.00919;44.047694, 4.00919;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
05221A;LE CAILAR BP;Bureau de poste;16 BOULEVARD GAMBETTA;;;30740.0;LE CAILAR;FRANCE;43.673932;4.238082;43.673932, 4.238082;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
05240A;CONCOULES AP;Relais poste commerçant;ROUTE DE VILLEFORT;;CONCOULES;30450.0;GENHOLAC;FRANCE;44.383995;3.939287;44.383995, 3.939287;Géocodé au centre de la commune;466612909.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05245A;CORCONNE AP;Agence postale;;GRAND RUE;;30260.0;CORCONNE;FRANCE;43.872094;3.939333;43.872094, 3.939333;Géocodé au centre de la commune;466773200.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05249A;DOURBIES AP;Agence postale;RUE DE LA MAIRIE;;;30750.0;DOURBIES;FRANCE;44.064495;3.444656;44.064495, 3.444656;Géocodé au milieu de la rue;467827270.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05257A;GAGNIERES BP;Bureau de poste;RUE DE LA POSTE;;;30160.0;GAGNIERES;FRANCE;44.305113;4.129206;44.305113, 4.129206;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05258A;GALLARGUES LE MONTUEUX BP;Bureau de poste;3 RUE MARCEL DUBLET;;;30660.0;GALLARGUES LE MONTUEUX;FRANCE;43.722535;4.174144;43.722535, 4.174144;Géocodé au numéro;3631.0;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
05270A;LASALLE BP;Bureau de poste;LE PONT DE FER;;;30460.0;LASALLE;FRANCE;44.043597;3.85665;44.043597, 3.85665;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non
05283A;MASSILLARGUES ATTUECH AP;Agence postale;VILLAGE;MAIRIE;;30140.0;MASSILLARGUES ATTUECH;FRANCE;44.015797;4.023751;44.015797, 4.023751;Géocodé au centre de la commune;466617150.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05286A;MEYNES BP;Bureau de poste;PLACE DE LA MAIRIE;;;30840.0;MEYNES;FRANCE;43.88333;4.562548;43.88333, 4.562548;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05299A;NERS AP;Relais poste commerçant;RUE CAZALET;ALIMENTATION GENERALE;;30360.0;NERS;FRANCE;44.026295;4.159219;44.026295, 4.159219;Géocodé au centre de la commune;466300816.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
05302A;ORSAN BP;Bureau de poste;AVENUE DES TAVANS;;;30200.0;ORSAN;FRANCE;44.131892;4.668825;44.131892, 4.668825;Géocodé au centre de la commune;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
05315A;ROQUEMAURE;Bureau de poste;PLACE CHATEAUNEUF;;;30150.0;ROQUEMAURE;FRANCE;44.052073;4.779709;44.052073, 4.779709;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
05320A;SAINT ANDRE DE VALBORGNE BP;Bureau de poste;PLACE DE L EGLISE;;;30940.0;ST ANDRE DE VALBORGNE;FRANCE;44.156798;3.681638;44.156798, 3.681638;Géocodé au milieu de la rue;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
02144A;ARLES MAS THIBERT BP;Bureau de poste;1 PLACE DE LA POSTE;;;13104.0;MAS THIBERT;FRANCE;43.556894;4.729618;43.556894, 4.729618;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non
02146A;ARLES SALIN DE GIRAUD BP;Bureau de poste;8 BOULEVARD DE LA GARE;;;13129.0;SALIN DE GIRAUD;FRANCE;43.413638;4.729606;43.413638, 4.729606;Géocodé au numéro;3631.0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Oui;Non;Non
02148A;CHATEAUNEUF LES MARTIGUES LA MEDE BP;Bureau de poste;84 AVENUE EMILE COTTE;;LA MEDE;13220.0;CHATEAUNEUF LES MARTIGUES;FRANCE;43.397698;5.112432;43.397698, 5.112432;Géocodé au numéro;3631.0;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non
02151A;MARSEILLE BELLE DE MAI;Bureau de poste;10 PLACE BERNARD CADENAT;;;13003.0;MARSEILLE;FRANCE;43.311798;5.386571;43.311798, 5.386571;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
02155A;MARSEILLE CANEBIERE;Bureau de poste;1 SQUARE STALINGRAD;;;13001.0;MARSEILLE;FRANCE;43.299593;5.384753;43.299593, 5.384753;Géocodé au numéro;3631.0;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui
02157A;MARSEILLE LOUIS ASTRUC;Bureau de poste;65 RUE LOUIS ASTRUC;;;13005.0;MARSEILLE;FRANCE;43.292297;5.395925;43.292297, 5.395925;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui
02162A;MARSEILLE LE FLORALIA;Bureau de poste;30 RUE FLORALIA;;;13009.0;MARSEILLE;FRANCE;43.2416;5.39432;43.2416, 5.39432;Géocodé au numéro;3631.0;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Oui
